DATE,GENDER,GRADE,REGION
30,Female,11.0,Tashkent city
30,Female,11.0,Kashkadarya
30,Female,10.0,Sirdarya
30,Female,9.0,Namangan
30,Female,9.0,Kashkadarya
30,Female,9.0,Kashkadarya
30,Female,10.0,Fergana
30,Female,9.0,Kashkadarya
30,Male,10.0,Tashkent city
30,Female,10.0,Fergana
30,Female,9.0,Navoi
30,Male,10.0,Fergana
30,Female,11.0,Andijan
30,Female,9.0,Navoi
30,Female,11.0,Fergana
30,Female,Freshman,Fergana
30,Female,9.0,Sirdarya
30,Male,10.0,Samarkand
30,Female,11.0,Tashkent city
30,Male,11.0,Tashkent region
30,Female,11.0,Fergana
30,Female,10.0,Namangan
30,Male,11.0,Sirdarya
30,Male,11.0,Khorazm
30,Male,10.0,Surkhandarya
30,Male,9.0,Namangan
30,Female,11.0,Tashkent city
30,Male,11.0,Jizzakh
30,Female,11.0,Tashkent city
30,Male,10.0,Fergana
30,Female,11.0,Fergana
30,Female,10.0,Andijan
30,Male,11.0,Namangan
30,Male,11.0,Samarkand
30,Female,9.0,Sirdarya
30,Male,11.0,Jizzakh
30,Male,11.0,Tashkent city
30,Female,10.0,Sirdarya
30,Male,11.0,Kashkadarya
30,Female,10.0,Bukhara
30,Male,11.0,Jizzakh
30,Female,11.0,Fergana
30,Male,11.0,Jizzakh
30,Female,10.0,Fergana
30,Female,9.0,Sirdarya
30,Male,11.0,Jizzakh
30,Male,11.0,Bukhara
30,Female,10.0,Jizzakh
30,Female,11.0,Andijan
30,Male,11.0,Kashkadarya
30,Male,11.0,Tashkent region
30,Female,Senior,Khorazm
30,Female,11.0,Jizzakh
30,Female,9.0,Surkhandarya
30,Female,10.0,Andijan
30,Female,11.0,Kashkadarya
30,Female,Junior,Tashkent city
30,Female,9.0,Tashkent region
30,Female,10.0,Andijan
30,Male,11.0,Fergana
30,Male,11.0,Namangan
30,Female,11.0,Tashkent city
30,Male,11.0,Sirdarya
30,Female,10.0,Sirdarya
30,Female,10.0,Karakalpakistan
30,Male,10.0,Sirdarya
